Measurement_ID,Date,Time,Value,Unit
8984,2025-02-13,21:43:14,0,LUX     
8985,2025-02-13,21:48:14,0,LUX     
8986,2025-02-13,21:53:14,0,LUX     
8987,2025-02-13,21:58:14,0,LUX     
8988,2025-02-13,22:03:14,0,LUX     
8989,2025-02-13,22:08:14,0,LUX     
8990,2025-02-13,22:13:14,0,LUX     
8991,2025-02-13,22:18:14,0,LUX     
8992,2025-02-13,22:23:14,0,LUX     
8993,2025-02-13,22:28:14,0,LUX     
8994,2025-02-13,22:33:14,0,LUX     
8995,2025-02-13,22:38:14,0,LUX     
8996,2025-02-13,22:43:14,0,LUX     
8997,2025-02-13,22:48:14,0,LUX     
8998,2025-02-13,22:53:14,0,LUX     
8999,2025-02-13,22:58:14,0,LUX     
9000,2025-02-13,23:03:14,0,LUX     
9001,2025-02-13,23:08:14,0,LUX     
9002,2025-02-13,23:13:14,0,LUX     
9003,2025-02-13,23:18:14,0,LUX     
9004,2025-02-13,23:23:14,0,LUX     
9005,2025-02-13,23:28:14,0,LUX     
9006,2025-02-13,23:33:14,0,LUX     
9007,2025-02-13,23:38:14,0,LUX     
9008,2025-02-13,23:43:14,0,LUX     
9009,2025-02-13,23:48:14,0,LUX     
9010,2025-02-13,23:53:14,0,LUX     
9011,2025-02-13,23:58:14,0,LUX     
9012,2025-02-14,00:03:14,0,LUX     
9013,2025-02-14,00:08:14,0,LUX     
9014,2025-02-14,00:13:14,0,LUX     
9015,2025-02-14,00:18:14,0,LUX     
9016,2025-02-14,00:23:14,0,LUX     
9017,2025-02-14,00:28:14,0,LUX     
9018,2025-02-14,00:33:14,0,LUX     
9019,2025-02-14,00:38:14,0,LUX     
9020,2025-02-14,00:43:14,0,LUX     
9021,2025-02-14,00:48:14,0,LUX     
9022,2025-02-14,00:53:14,0,LUX     
9023,2025-02-14,00:58:14,0,LUX     
9024,2025-02-14,01:03:14,0,LUX     
9025,2025-02-14,01:08:14,0,LUX     
9026,2025-02-14,01:13:14,0,LUX     
9027,2025-02-14,01:18:14,0,LUX     
9028,2025-02-14,01:23:14,0,LUX     
9029,2025-02-14,01:28:14,0,LUX     
9030,2025-02-14,01:33:14,0,LUX     
9031,2025-02-14,01:38:14,0,LUX     
9032,2025-02-14,01:43:14,0,LUX     
9033,2025-02-14,01:48:14,0,LUX     
9034,2025-02-14,01:53:14,0,LUX     
9035,2025-02-14,01:58:14,0,LUX     
9036,2025-02-14,02:03:14,0,LUX     
